類型,連結,第 1 欄,第 2 欄,,
娛樂搞笑,https://www.youtube.com/shorts/uvA99PpWloQ,,,,
娛樂搞笑,https://www.youtube.com/shorts/qAY2EX6Kil0,,,,
娛樂搞笑,https://www.youtube.com/shorts/doJiBqHprSw,,,,
運動,https://www.youtube.com/shorts/QUaA7ymKIQQ,,,,
藝術,https://www.youtube.com/shorts/Hakpc95Y0TE,,,,
娛樂搞笑,https://www.youtube.com/shorts/ivn-HaTAxGo,,,,
電影,https://www.youtube.com/shorts/ME7TBUPf9m0,,,,
日常,https://www.youtube.com/shorts/QfI1drls7io,,,,
娛樂搞笑,https://www.youtube.com/shorts/thUV_jAArSg,,,,
"動物, 療愈",https://www.youtube.com/shorts/vJRZBLxproc,,,,
"娛樂搞笑, 音樂舞蹈",https://www.youtube.com/shorts/SgpVW2S1iAQ,,,,
時尚,https://www.youtube.com/shorts/9UIt9lbnYvY,,,,
教學,https://www.youtube.com/shorts/zyIcVvmxUMU,,,,
藝術,https://www.youtube.com/shorts/IjsocxL0OLI,,,,
挑戰,https://www.youtube.com/shorts/kCWBsqjV7bE,,,,
療愈,https://www.youtube.com/shorts/DnCOtQa4Gmk,,,,
娛樂搞笑,https://www.youtube.com/shorts/k7Gq8KcO66c,,,,
動物,https://www.youtube.com/shorts/qNcFobtzoYM,,,,
藝術,https://www.youtube.com/shorts/fJ4diJnTC7E,,,,
娛樂搞笑,https://www.youtube.com/shorts/3DknZWhFt_8,,,,
"娛樂搞笑, 電影",https://www.youtube.com/shorts/Dqi2x0eSfus,,,,
藝術,https://www.youtube.com/shorts/01jlmAp6uZM,,,,
挑戰,https://www.youtube.com/shorts/GD6uxSvC1z8,,,,
科技,https://www.youtube.com/shorts/PXZL72VEFUk,,,,
旅遊,https://www.youtube.com/shorts/vdEzN028FlM,,,,
娛樂搞笑,https://www.youtube.com/shorts/G2OoVKBwlEE,,,,
日常,https://www.youtube.com/shorts/3KP-78hEHBs,,,,
娛樂搞笑,https://www.youtube.com/shorts/tPbKLsp_tX4,,,,
挑戰,https://www.youtube.com/shorts/OZRg6Wc0QjM,,,,
日常,https://www.youtube.com/shorts/oZgNvdzdLpk,,,,
療愈,https://www.youtube.com/shorts/RFl5lEGgRTk,,,,
挑戰,https://www.youtube.com/shorts/Q3Upj7QaJl4,,,,
